ebx,question_title,coverage_status,source_pages,evidence_type,gap_or_note
EBX-Q-001,ESG 비전 및 중장기 전략 / ESG vision and mid-to-long-term strategy,SUFFICIENT,4;7;8;14,qualitative+quantitative,
EBX-Q-002,ESG 거버넌스 구조 및 의사결정 체계 / ESG governance structure and decision-making system,SUFFICIENT,14;45;70;77;107,qualitative,
EBX-Q-003,ESG 리스크 식별 및 관리 체계 / ESG risk identification and management system,SUFFICIENT,12;14;117;118;119;120,qualitative,
EBX-Q-004,산업안전보건 정책 및 목표 / Occupational health and safety policy and targets,SUFFICIENT,70;71;75,qualitative+quantitative,
EBX-Q-005,안전보건 관리 조직 및 책임 / Occupational health and safety organization and responsibilities,SUFFICIENT,70;71;72,qualitative,
EBX-Q-006,산업안전 리스크 식별 및 예방 활동 / Industrial safety risk identification and prevention activities,SUFFICIENT,72;73;74;75;76,qualitative+quantitative,
EBX-Q-007,산업재해 현황 및 안전 성과 지표 / Occupational accident status and safety performance indicators,SUFFICIENT,75;76;139,quantitative+qualitative,
EBX-Q-008,인권경영 정책 및 목표 / Human rights management policy and targets,SUFFICIENT,45;46;47;49;149,qualitative+quantitative,
EBX-Q-009,노동 및 인권 관리 체계 / Labor and human rights management system,SUFFICIENT,45;46;47;54;57;148;149,qualitative+quantitative,
EBX-Q-010,인권 리스크 식별 및 대응 / Human rights risk identification and response,SUFFICIENT,49;52;54;149,qualitative+quantitative,
EBX-Q-011,인권 고충처리 및 처리 현황 / Human rights grievance handling and resolution status,SUFFICIENT,55;56;57;148,qualitative+quantitative,
EBX-Q-012,제품 안전 및 품질 관리 정책 / Product safety and quality management policy,SUFFICIENT,89;90;91;149,qualitative+quantitative,
EBX-Q-013,품질 관리 조직 및 책임 / Quality management organization and responsibilities,SUFFICIENT,88;89;91,qualitative,
EBX-Q-014,품질 및 제품 안전 리스크 관리 / Quality and product safety risk management,SUFFICIENT,90;91;97;149,qualitative+quantitative,
EBX-Q-015,제품 안전 및 품질 관련 사고 현황 / Product safety and quality incident status,PARTIAL,91;97;149;159,qualitative+quantitative,ESG PDF does not disclose a direct 3-year product safety incident/recall count table; GRI index points product/service safety violation cases to Business Report pages 465-469.
EBX-Q-016,정보보안 및 개인정보보호 정책 / Information security and personal data protection policy,SUFFICIENT,121;122;123;124,qualitative,
EBX-Q-017,정보보호 관리 조직 / Information security management organization,SUFFICIENT,121;123;124,qualitative,
EBX-Q-018,정보보안 및 개인정보보호 리스크 관리 / Information security and personal data protection risk management,SUFFICIENT,122;123;124;125;126;127;128;129,qualitative,
EBX-Q-019,개인정보 침해 및 정보보안 사고 현황 / Personal data breach and information security incident status,SUFFICIENT,127;153,quantitative+qualitative,
EBX-Q-020,환경경영 정책 및 목표 / Environmental management policy and targets,SUFFICIENT,7;14;16;28;133;134;135;136,qualitative+quantitative,
EBX-Q-021,환경 관리 조직 및 책임 / Environmental management organization and responsibilities,SUFFICIENT,14;28;70;155,qualitative+quantitative,
EBX-Q-022,환경 영향 및 리스크 관리 / Environmental impact and risk management,SUFFICIENT,18;28;40;41;42;117;120,qualitative,
EBX-Q-023,환경 성과 지표 및 환경 사고 현황 / Environmental performance indicators and environmental incident status,SUFFICIENT,133;134;135;136,quantitative,
EBX-Q-024,윤리경영 정책 및 목표 / Business ethics policy and targets,SUFFICIENT,112;113;114;115;116;152;153,qualitative+quantitative,
EBX-Q-025,윤리경영 운영 조직 및 체계 / Business ethics operating organization and system,SUFFICIENT,112;113;114;151;152;153,qualitative+quantitative,
EBX-Q-026,윤리 및 컴플라이언스 리스크 관리 / Ethics and compliance risk management,SUFFICIENT,114;115;116;117;151;152,qualitative+quantitative,
EBX-Q-027,윤리 위반 및 컴플라이언스 관련 사건 현황 / Ethics violations and compliance-related incident status,SUFFICIENT,151;152;153;158;159,quantitative+qualitative,Sufficient for ESG-report ethics/compliance incident reporting; legal sanctions/lawsuits are referenced to the Business Report rather than repeated in the ESG PDF.
