sector,ebx,item,verdict,reason,비고
CG,EBX-Q-001,ESG 비전 및 중장기 전략,borderline,"J는 검증인(BSI Group Korea)이 제시한 지속가능성 데이터·거버넌스 고도화 개선 권고사항으로, '전사 중장기 지속가능성 전략·비전 공개'를 언급은 하나 회사 자체의 ESG 비전·중장기 전략 선언이 아니라 제3자 검증의견·권고 프레임이라 정확한 하위주제에서 약간 빗나감.",
CG,EBX-Q-013,품질 관리 조직 및 책임,borderline,J가 품질관리 조직구조·R&R보다 그룹 4개 계열사의 평판리스크 관리와 ISO 26000 진단툴 기반 그룹 차원 품질경영 고도화에 초점. 품질경영 체계는 다루나 '품질 관리 조직 및 책임' 하위주제로는 약간 빗나감.,
CG,EBX-Q-019,개인정보 침해 및 정보보안 사고 현황,borderline,항목은 침해·유출 사고 건수 등 지표(현황) 공개인데 J는 정보보안 교육·ISMS 인증·실태점검·모의훈련 등 예방·관리 활동 중심. 같은 정보보호 영역이나 사고 발생 통계라는 지표 하위주제는 빗나감.,
CG,EBX-Q-025,윤리경영 조직 및 운영 체계,borderline,J 전반부가 한국인터넷진흥원 모의훈련·ISMS 등 정보보호 내용이고 후반부에서야 윤리경영 추진조직(감사위원회·윤리경영팀)을 다룸. 윤리경영 조직 주제는 포함되나 정보보안 내용이 섞여 하위주제가 흐려짐.,
EM,EBX-Q-003,ESG 리스크 식별 및 관리 체계,borderline,"첫 문장만 본부별 재무·비재무 리스크 분류·모니터링으로 주제 일치. 본문 대부분은 주주가치 제고·현금배당 정책으로, ESG 리스크 식별/관리의 정확한 하위주제에서 벗어남(같은 거버넌스 영역이나 배당 서술이 주를 이룸).",
EM,EBX-Q-007,산업재해 발생 현황 및 안전 성과 지표,borderline,"항목은 재해 건수·재해율(LTIFR)·안전교육 등 지표(Metrics)인데, J는 협력사 선정 시 안전수준 평가·적격수급업체 평가(공급망 안전관리)에 집중. 같은 안전보건 영역이나 산업재해 발생 통계 지표라는 하위주제가 누락됨.",
EM,EBX-Q-011,인권 관련 고충 및 처리 현황,borderline,"항목은 인권 고충·처리 현황 지표인데, J는 남녀고용평등법 고충·공정거래법 담합·하도급법·공정거래위 조사 등 준법/컴플라이언스 리스크 범주 나열이 주. 고충·노동쟁의·인권침해를 언급하나 고충 신고/처리 건수 같은 지표 하위주제가 아닌 리스크 분류 서술.",
EM,EBX-Q-015,제품 안전 및 품질 관련 사고 현황,borderline,"항목은 제품 리콜·안전사고·품질불만 건수 지표인데, J는 위기관리위원회·ESG 경영위원회 산하 위원회 구조 등 리스크 거버넌스 체계 서술. 품질경영위원회·고객 안전이 위원회 관장사항으로 언급되나 사고 현황 지표라는 하위주제는 부재.",
EM,EBX-Q-018,정보보안 및 개인정보 보호 리스크 관리,borderline,J는 개인정보·정보보안 법규 준수를 포함하나 지적재산권 보호·공정경쟁 등을 아우르는 일반 행동규범 발췌. 정보보안 리스크 통제/보안 점검/대응 절차라는 정확한 하위주제가 분산되어 흐릿함(같은 정보보호 영역이나 초점 빗나감).,
EM,EBX-Q-019,개인정보 침해 및 정보보안 사고 현황,borderline,"항목은 개인정보 침해 건수·유출 사고·법규 위반 건수 지표인데, J는 개인정보취급방침·전담조직·교육 시간(2022/2023/2024) 수치 제공. 침해/유출 사고 건수가 아닌 교육 이수 시간 지표로 정확한 하위주제가 빗나감.",
EM,EBX-Q-021,환경경영 조직 및 책임,borderline,"항목은 환경경영 조직 구조·R&R인데, J는 환경 리스크 관리 체계·자발적 협약·석회석 광산 운영/복구가 주이고 조직구조·책임체계 서술은 약함(환경안전점검의 날 참여자 정도). 같은 환경경영 영역이나 조직/책임 하위주제가 부분적으로만 충족. (단양지역 석회석 광산 등 사업장 지명 포함되나 회사명 자체는 아님)",
